REGIAO;UF;ESTACAO;CODIGO;LATITUDE;LONGITUDE;ALTITUDE
NE;BA;JACOBINA;A440;-11.205;-40.465;453.0
NE;BA;SERRINHA;A441;-11.66444444;-39.02305554;339.0
NE;BA;EUCLIDES DA CUNHA;A442;-10.53722221;-38.99666666;430.0
NE;BA;DELFINO;A443;-10.455;-41.20722222;637.0
NE;CE;CRATEUS;A342;-5.1861111;-40.66999999;291.0
NE;CE;CAMPOS SALES;A347;-7.07805554;-40.36305555;572.0
NE;CE;JAGUARIBE;A358;-5.90527777;-38.62777777;184.0
NE;CE;ITAPIPOCA;A359;-3.48388888;-39.58833333;102.0
NE;MA;CHAPADINHA;A206;-3.74277777;-43.35194444;91.0
NE;MA;GRAJAU;A207;-5.82472221;-46.15944444;230.0
NE;MA;FAROL de SANTANA;A217;-2.27083332;-43.62388888;8.0
NE;MA;PREGUICAS;A218;-2.59249999;-42.70722222;0.1
NE;MA;TURIACU;A219;-1.66166666;-45.37277777;41.0
NE;MA;BACABAL;A220;-4.24305555;-44.79499999;28.0
NE;MA;BARRA DO CORDA;A221;-5.50666666;-45.23694444;153.0
NE;MA;COLINAS;A222;-6.03333333;-44.23333333;179.0
NE;MA;ESTREITO;A224;-6.65333333;-47.41833332;180.0
NE;MA;IMPERATRIZ;A225;-5.55555555;-47.45972222;126.0
NE;MA;CAXIAS;A237;-4.82138888;-43.3436111;76.0
NE;MA;BURITICUPU;A238;-4.32055554;-46.44972221;175.0
NE;PB;CAMARATUBA;A352;-6.56083333;-35.13472221;136.0
NE;PE;SURUBIM;A328;-7.83694444;-35.7961111;418.0
NE;PE;IBIMIRIM;A349;-8.50944444;-37.71138888;448.0
NE;PE;SERRA TALHADA;A350;-7.95361111;-38.29472221;461.0
NE;PE;PALMARES;A357;-8.66638888;-35.56805554;180.0
NE;PI;PICOS;A343;-7.07083332;-41.40416666;233.0
NE;PI;SAO RAIMUNDO NONATO;A345;-9.03305554;-42.70055555;402.0
NE;PI;URUCUI;A346;-7.47472221;-44.34472221;393.0
NE;PI;OEIRAS;A354;-6.97416666;-42.14694444;156.0
NE;SE;POCO VERDE;A419;-10.73749999;-38.10777777;362.0
NE;SE;CARIRA;A420;-10.39944444;-37.74722221;308.0
NE;SE;BREJO GRANDE;A421;-10.47944443;-36.48194443;6.11
N;AC;PARQUE ESTADUAL CHANDLESS;A102;-9.3575;-69.92722221;187.0
N;AC;RIO BRANCO;A104;-9.95777777;-68.165;220.0
N;AM;BOCA DO ACRE;A110;-8.77666666;-67.33222221;111.0
N;AM;LABREA;A111;-7.43527777;-64.7886111;64.0
N;AM;APUI;A113;-7.21527777;-59.8886111;160.0
N;AM;COARI;A117;-4.09749999;-63.14527777;53.0
N;AM;MANACAPURU;A119;-3.29472221;-60.62833332;55.0
N;AM;AUTAZES;A120;-2.05638888;-60.02555554;78.0
N;AM;ITACOATIARA;A121;-3.13305554;-58.48277777;74.0
N;AM;MAUES;A122;-3.39888888;-57.6736111;35.0
N;AM;PARINTINS;A123;-2.64055555;-56.75472222;52.0
N;AM;URUCARA;A124;-2.89638888;-57.75833333;17.0
N;AM;RIO URUBU;A125;-2.7211111;-59.94333333;59.0
N;AM;PRESIDENTE FIGUEIREDO;A126;-2.08499999;-60.04888888;92.0
N;AP;OIAPOQUE;A242;3.81361111;-51.8625;21.0
N;PA;MEDICILANDIA;A209;-3.51083333;-52.96361111;251.0
N;PA;PACAJA;A210;-3.8436111;-50.63805555;108.0
N;PA;PLACAS;A211;-3.8811111;-54.2461111;96.0
N;PA;RONDON DO PARA;A214;-4.82749999;-48.17333332;203.0
N;PA;SALINOPOLIS;A215;-0.6186111;-47.35666666;41.0
N;PA;SOURE;A227;-0.81111111;-48.51583333;11.0
N;PA;TUCURUI;A229;-3.82277777;-49.67499999;148.0
N;PA;SERRA DOS CARAJAS;A230;-6.07749999;-50.14222221;719.0
N;PA;ITAITUBA;A231;-4.27638888;-55.99305555;13.0
N;PA;SANTANA DO ARAGUAIA;A233;-9.3386111;-50.35027777;168.0
N;PA;TUCUMA;A234;-6.7436111;-51.14222221;317.0
N;PA;NOVO REPARTIMENTO;A235;-4.23444444;-49.94277777;106.0
N;PA;CAMETA;A236;-2.2486111;-49.49305555;22.0
N;PA;CONCEICAO DO ARAGUAIA;A241;-8.25916666;-49.27416666;180.0
NE;MA;ALTO PARNAIBA;A223;-9.10805555;-45.93194443;281.0
NE;PB;CABACEIRAS;A348;-7.48333333;-36.28638888;436.0
NE;PE;FLORESTA;A351;-8.5936111;-38.58388888;332.0
NE;RN;CALCANHAR;A344;-5.16;-35.45416666;17.0
N;AM;HUMAITA;A112;-7.92277777;-63.12138888;72.0
N;AM;BARCELOS;A128;-0.95861111;-62.94222221;42.0
N;RO;CACOAL;A939;-11.44583333;-61.43416666;210.0
N;RO;ARIQUEMES;A940;-9.94888888;-62.96194444;140.0
N;TO;DIANOPOLIS;A038;-11.59416666;-46.84722221;732.0
N;TO;FORMOSO DO ARAGUAIA;A039;-11.98722221;-49.60833333;220.0
SE;ES;PRES. KENNEDY;A622;-21.10111111;-41.03888888;80.0
SE;ES;NOVA VENECIA;A623;-18.69527777;-40.4075;154.0
SE;MG;FLORESTAL;A535;-19.88527778;-44.41694444;750.0
SE;MG;IBIRITE (ROLA MOCA);A555;-20.0311111;-44.01111111;1208.0
SE;RJ;SAO TOME;A620;-22.04166666;-41.05194444;8.0
N;RO;VILHENA;A938;-12.73472221;-60.15777777;590.0
S;PR;JAPIRA;A871;-23.77305554;-50.18055554;694.0
S;RS;TRAMANDAI;A834;-30.00972222;-50.13527777;1.0
S;RS;MOSTARDAS;A878;-31.24777777;-50.90555555;10.0
S;SC;DIONISIO CERQUEIRA;A848;-26.28638888;-53.63277777;810.0
NE;BA;UAUA;A435;-9.8336111;-39.49555555;453.0
N;PA;BRAGANCA;A226;-1.04527777;-46.78277777;33.0
SE;SP;BARRA BONITA;A741;-22.37083332;-48.55722222;544.0
SE;SP;BARRA DO TURVO;A746;-24.96305555;-48.41638888;667.0
SE;SP;PRADOPOLIS;A747;-21.33833333;-48.11388888;544.0
SE;SP;ITUVERAVA;A753;-20.35944444;-47.77499999;600.0
S;PR;FOZ DO IGUACU;A846;-25.60194444;-54.48305554;242.0
S;PR;DIAMANTE DO NORTE;A849;-22.63388888;-52.85888888;362.0
S;PR;PARANAPOEMA;A850;-22.49166666;-52.13444444;311.0
S;PR;CIDADE GAUCHA;A869;-23.37583332;-52.93194443;381.0
S;PR;MORRETES;A873;-25.51277777;-48.80861111;59.0
S;PR;GENERAL CARNEIRO;A875;-26.3986111;-51.35444444;1018.0
S;PR;CLEVELANDIA;A876;-26.41722221;-52.34888888;980.0
S;RS;SOLEDADE;A837;-28.85361111;-52.55833333;667.0
S;RS;PALMEIRA DAS MISSOES;A856;-27.92166666;-53.31694443;631.0
S;RS;CANELA;A879;-29.36888888;-50.82749999;830.0
S;RS;VACARIA;A880;-28.51361111;-50.88277777;986.0
S;RS;Santa Vitoria do Palmar - Barra do Chui;A899;-33.74166666;-53.37138888;26.0
S;SC;URUSSANGA;A814;-28.53249999;-49.31555555;48.0
S;SC;SAO JOAQUIM;A815;-28.27555554;-49.93444444;1410.0
S;SC;NOVO HORIZONTE;A816;-26.40694444;-52.85055555;960.0
S;SC;SAO MIGUEL DO OESTE;A857;-26.77666666;-53.50444444;665.0
S;SC;XANXERE;A858;-26.9386111;-52.415;889.0
S;SC;CACADOR;A859;-26.81944443;-50.98555555;952.0
S;SC;CURITIBANOS;A860;-27.2886111;-50.60416666;860.0
S;SC;RIO DO CAMPO;A861;-26.93749999;-50.14638888;592.0
S;SC;RIO NEGRINHO;A862;-26.2486111;-49.58055554;869.0
S;SC;ITUPORANGA;A863;-27.41833332;-49.64666666;484.0
S;SC;Laguna  - Farol de Santa Marta;A866;-28.60416666;-48.81333333;52.0
S;SC;ARARANGUA;A867;-28.93138888;-49.49805555;12.0
NE;BA;VALENCA;A444;-13.3436111;-39.12666666;105.0
NE;BA;IPIAU;A445;-14.17138888;-39.69249999;125.0
NE;BA;BELMONTE;A447;-16.08805555;-39.21555555;88.0
NE;CE;ACARAU;A360;-3.12083332;-40.08694444;76.0
NE;PI;CASTELO DO PIAUI;A361;-5.34916666;-41.51222222;286.0
NE;PI;VALENCA DO PIAUI;A363;-6.39916666;-41.73999999;301.0
NE;PI;GILBUES;A364;-9.87472221;-45.34638888;425.0
N;AC;PORTO WALTER;A136;-8.26694443;-72.74777777;204.0
N;AC;MARECHAL THAUMATURGO;A137;-8.95;-72.78666666;230.0
N;AC;FEIJO;A138;-8.24194444;-70.57527777;163.0
N;AC;EPITACIOLANDIA;A140;-11.0236111;-68.73499999;217.0
NE;BA;ITAPETINGA;A446;-15.24472221;-40.22944443;269.0
NE;PI;SAO PEDRO DO PIAUI;A362;-5.91111111;-42.7186111;287.0
N;TO;ARAGUATINS;A044;-5.6436111;-48.11166666;117.0
N;PA;MARABA;A240;-5.16722221;-49.37916666;116.0
S;RS;SANTIAGO;A833;-29.19138888;-54.88555555;394.0
S;SC;MAJOR VIEIRA;A864;-26.3936111;-50.36333333;808.0
CO;GO;SILVANIA;A037;-16.67694443;-48.61805554;949.0
CO;MS;AGUA CLARA;A756;-20.44444444;-52.87555554;338.0
NE;PE;OURICURI;A366;-7.88472221;-40.10111111;464.0
NE;PI;CANTO DO BURITI;A365;-8.11777777;-42.00888888;308.0
NE;RN;SANTA CRUZ;A367;-6.22777777;-36.02638888;237.0
N;PA;MINA DO PALITO;A246;-6.31972221;-55.78722221;261.0
N;RR;BOA VISTA;A135;2.81694443;-60.69083333;94.0
SE;MG;MANHUACU;A556;-20.26361111;-42.18277777;836.0
SE;RJ;NOVA FRIBURGO;A624;-22.33305554;-42.67722221;1046.0
SE;SP;BARRETOS;A748;-20.55888888;-48.54472221;533.0
S;RS;DOM PEDRITO;A881;-31.0025;-54.61805554;150.0
S;SC;ITAJAI;A868;-26.95083333;-48.76194444;18.0
CO;MS;BELA VISTA;A757;-22.10083333;-56.53999999;208.0
CO;MS;JARDIM;A758;-21.47833332;-56.13694444;249.0
CO;MT;ALTO ARAGUAIA;A909;-17.33944444;-53.22416666;753.0
N;AM;MANICORE;A133;-5.81055555;-61.29194444;71.0
N;AM;S. G. DA CACHOEIRA;A134;-0.12499999;-67.06111111;90.0
N;PA;CAPITAO POCO;A248;-1.73472221;-47.0575;81.0
SE;ES;AFONSO CLAUDIO;A657;-20.10416666;-41.10694444;520.0
SE;SP;BARUERI;A755;-23.52333332;-46.86916666;791.0
S;PR;VENTANIA;A872;-24.23833333;-50.24555555;1106.0
S;PR;SAO MATEUS DO SUL;A874;-25.83499999;-50.3686111;788.0
CO;MS;COSTA RICA;A760;-18.82277777;-53.26722221;730.0
CO;MS;SONORA;A761;-17.89638888;-54.45361111;486.0
CO;MT;CACERES;A941;-16.07444443;-57.69277777;116.0
N;AM;EIRUNEPE;A109;-6.65027777;-69.86694443;143.0
N;PA;MONTE ALEGRE;A239;-2.0;-54.07583332;96.0
N;TO;MATEIROS;A040;-10.42999999;-45.91999999;798.0
N;TO;MARIANOPOLIS DO TO;A041;-9.57666666;-49.72333332;203.0
N;TO;CAMPOS LINDOS;A043;-8.15472222;-46.63916666;425.0
SE;MG;CORONEL PACHECO;A557;-21.54694444;-43.26111111;431.0
N;PA;OBIDOS;A232;-5.36583333;-49.12527777;96.0
S;RS;TEUTONIA;A882;-29.45027777;-51.82416666;81.0
S;RS;IBIRUBA;A883;-28.65333333;-53.11194444;456.0
CO;GO;IPORA;A028;-16.42305554;-51.14805555;625.0
CO;MS;BATAGUASSU;A759;-21.75138888;-52.47055554;387.0
N;AP;MACAPA;A249;0.03527777;-51.0886111;27.0
SE;MG;BELO HORIZONTE - CERCADINHO;F501;-19.97999999;-43.95861111;1214.0
S;RS;CAMPO BOM;A884;-29.67444443;-51.06416666;24.0
CO;DF;GAMA (PONTE ALTA);A046;-15.93527777;-48.13749999;990.0
S;SC;LAGES;A865;-27.80222222;-50.33555555;955.0
NE;BA;CURACA;A448;-9.00138888;-39.91277777;370.0
NE;BA;JEREMOABO;A450;-10.08083332;-38.34583333;261.0
N;AC;CRUZEIRO DO SUL;A108;-7.61055555;-72.405;220.0
N;PA;SANTAREM;A250;-2.50277777;-54.72027777;137.0
N;TO;SANTA ROSA DO TOCANTINS;A052;-11.04638888;-48.18555555;306.0
N;TO;ARAGUACU;A054;-12.59222221;-49.5286111;231.0
SE;MG;SAO SEBASTIAO DO PARAISO;A561;-20.91;-47.11416666;845.0
SE;RJ;SILVA JARDIM;A659;-22.64583333;-42.41583333;19.0
SE;RJ;SAQUAREMA;A667;-22.8711111;-42.60916666;16.0
NE;BA;PILAO ARCADO;A449;-10.00222222;-42.47333332;400.0
NE;BA;FORMOSO DO RIO PRETO;A452;-11.05222222;-45.20083333;488.0
NE;BA;MACAUBAS;A454;-13.03888888;-42.61722221;574.0
NE;BA;ITAMARAJU;A455;-17.00722222;-39.55138888;110.0
NE;MA;SAO BENTO;S108;-2.7;-44.85;0.0
N;AM;PEF IPIRANGA;S102;-2.93055554;-69.69527777;0.0
N;AM;CRMN MANAUS;S103;-3.02249999;-60.05555555;0.0
N;AM;DTCEA TABATINGA;S105;-4.25055555;-69.93499999;0.0
N;AM;PEF YAUARETE;S115;0.59944444;-69.19194444;0.0
N;AM;DTCEA TEFE;S117;-3.37722221;-64.72305554;0.0
N;AM;SANTA ISABEL DO RIO NEGRO;S121;-0.41444444;-65.01749999;0.0
N;PA;SAO FELIX DO XINGU;A216;-6.63972221;-51.95694444;211.0
N;PA;XINGUARA;A247;-7.11027777;-49.92583332;245.0
N;PA;DOM ELISEU;S107;-4.28999999;-47.55;0.0
N;PA;DTCEA JACAREACANGA;S120;-6.23722221;-57.77499999;0.0
N;RO;FORTE PRINCIPE;S101;-12.42999999;-64.41999999;0.0
N;RO;DTCEA VILHENA;S104;-12.75055555;-60.14916666;0.0
N;RO;DTCEA GUAJARA-MIRIM;S110;-10.78999999;-65.33277777;0.0
N;RR;BALIZA;S113;0.94777777;-59.74638888;0.0
N;TO;SANTA FE DO ARAGUAIA;A048;-7.12416666;-48.78138888;171.0
N;TO;COLINAS DO TOCANTINS;A049;-8.09277777;-48.4786111;200.0
N;TO;RIO SONO;A050;-9.16;-47.13277777;291.0
N;TO;PIUM;A051;-10.47694443;-49.62944443;161.0
N;TO;ALMAS;A053;-11.28416666;-47.21222222;512.0
N;TO;LAGOA DA CONFUSAO;A055;-10.80833333;-49.84777777;178.0
N;AM;PEF ESTIRAO DO EQUADOR;S116;-4.52999999;-71.61749999;0.0
N;PA;ULIANOPOLIS;S111;-3.8;-47.51;0.0
N;RR;PACARAIMA;S114;4.47749999;-61.14916666;0.0
SE;MG;JANUARIA;A559;-15.44805555;-44.36638888;480.0
SE;MG;JANAUBA;A563;-15.80277777;-43.29694444;532.0
SE;MG;BAMBUI;A565;-20.0311111;-46.00861111;697.0
SE;MG;EB_PEF_BONFIM;S122;3.35888888;-59.82388888;0.0
SE;RJ;TRES RIOS;A625;-22.09833333;-43.20861111;305.0
SE;RJ;RIO CLARO;A626;-22.65361111;-44.04083333;516.0
SE;SP;DRACENA;A762;-21.45777777;-51.55222222;383.0
SE;MG;SETE LAGOAS;A569;-19.455;-44.17333332;719.0
SE;SP;BEBDOURO;A764;-20.94916666;-48.48972221;590.0
S;RS;SERAFINA CORREA;A894;-28.70472222;-51.87055554;545.0
S;PR;CAMPINA DA LAGOA;B803;-24.57083332;-52.8025;592.0
S;PR;LARANJEIRAS DO SUL;B804;-25.36888888;-52.39194444;835.0
S;PR;COLOMBO;B806;-25.32222221;-49.1575;950.0
S;RS;TUPANCIRETA;A886;-29.89388888;-53.82666666;462.0
S;RS;SAO VICENTE DO SUL;A889;-29.70194444;-54.69416666;134.0
S;RS;CAMBARA DO SUL;A897;-29.04888888;-50.14944444;1017.0
S;SC;RANCHO QUEIMADO;A870;-27.6786111;-49.04194444;881.0
CO;DF;BRAZLANDIA;A042;-15.59972221;-48.1311111;1143.0
CO;DF;PARANOA (COOPA-DF);A047;-16.01111111;-47.5575;1043.0
CO;GO;SAO MIGUEL DO ARAGUAIA;A031;-12.81972221;-50.34166666;340.0
CO;GO;EDEIA;A029;-17.33694444;-49.91472222;608.0
CO;MT;SAPEZAL;A911;-10.16583333;-59.45111111;105.0
CO;MT;PRIMAVERA DO LESTE;A923;-15.57999999;-54.3811111;680.0
NE;AL;PIRANHAS;A371;-9.62222221;-37.76722221;187.0
NE;PE;SALGUEIRO;A370;-8.05805555;-39.0961111;447.0
NE;RN;IPANGUACU;A372;-5.53499999;-36.87222221;19.0
NE;PB;ITAPORANGA;A373;-7.3186111;-38.14083333;292.0
NE;SE;ITABAIANA;A451;-10.67166666;-37.47138888;213.0
NE;SE;NOSSA SENHORA DA GLORIA;A453;-10.20777777;-37.43194443;271.0
N;AP;ITAUBAL;A251;0.56777777;-50.8236111;21.0
N;PA;BREVES;A228;-1.68027777;-50.47805554;11.0
SE;ES;ECOPORANGA;A631;-18.29166666;-40.73638888;224.0
SE;ES;VENDA NOVA DO IMIGRANTE;A633;-20.25222222;-41.18999999;722.0
SE;ES;VILA VELHA;A634;-20.46694443;-40.40416666;25.0
SE;MG;PATOS DE MINAS;A562;-18.52055554;-46.44055555;950.0
SE;MG;DIVINOPOLIS;A564;-20.17305554;-44.87472221;796.0
SE;MG;ARACUAI;A566;-16.84888888;-45.03527777;308.0
SE;MG;MACHADO;A567;-21.68083332;-45.94444444;969.0
SE;MG;OLIVEIRA;A570;-20.71472222;-44.86444444;1025.0
SE;RJ;ITATIAIA;A635;-22.37388888;-44.70305555;2450.0
SE;RJ;RIO DE JANEIRO - JACAREPAGUA;A636;-22.93972221;-43.40277777;20.0
SE;ES;MARILANDIA;A632;-19.40722222;-40.53972221;95.0
SE;MG;UBERABA;A568;-19.71;-47.96166666;778.0
SE;RJ;ANGRA DOS REIS;A628;-22.97583332;-44.30333333;6.0
SE;SP;BRAGANCA PAULISTA;A744;-23.95194444;-46.53055554;891.0
SE;SP;MARILIA;A763;-22.23527777;-49.965;660.0
SE;SP;BERTIOGA;A765;-23.84499999;-46.14305555;5.0
SE;SP;REGISTRO;A766;-24.53305554;-47.86416666;35.0
SE;SP;SAO SEBASTIAO;A767;-23.81083333;-45.4025;24.0
SE;SP;CACHOEIRA PAULISTA;A769;-22.68888888;-45.00555555;586.0
SE;SP;TUPA;A768;-21.92722221;-50.49027777;498.0
CO;GO;PORANGATU;A005;-13.51444444;-49.19833333;365.5
CO;GO;CRISTALINA (FAZENDA SANTA MONICA);A056;-16.39944444;-47.62583332;932.0
CO;MS;CAMAPUA;S707;-19.58749999;-54.02999999;540.0
CO;MS;ANGELICA;S701;-22.14805555;-53.76361111;347.0
CO;MS;ARAL MOREIRA;S702;-22.955;-55.6261111;605.0
CO;MS;BANDEIRANTES;S703;-19.94555555;-54.3686111;624.0
CO;MS;BONITO;S704;-21.24666666;-56.45055555;329.0
CO;MS;BRASILANDIA;S705;-21.29833333;-52.06888888;345.0
CO;MS;CAARAPO;S706;-22.65694444;-54.81944443;454.0
CO;MS;FATIMA DO SUL;S708;-22.30861111;-54.32583332;340.0
CO;MS;IGUATEMI;S709;-23.64444444;-54.57027777;319.0
CO;MS;ITAPORA;S710;-22.09277777;-54.79888888;360.0
CO;MS;LAGUNA CARAPA;S711;-22.57527777;-55.16027777;499.0
CO;MS;NOVA ALVORADA DO SUL;S712;-21.45111111;-54.34194444;5.0
CO;MS;NOVA ANDRADINA;S713;-22.0786111;-53.46583333;372.0
CO;MS;PEDRO GOMES;S714;-18.07277777;-54.54888888;251.0
CO;MS;RIBAS DO RIO PARDO;S715;-20.46666666;-53.76305555;436.0
CO;MS;SANTA RITA DO PARDO;S716;-21.30583333;-52.82027777;383.0
CO;MS;SELVIRIA;S717;-20.35138888;-51.43027777;374.0
NE;BA;SALVADOR (RADIO FAROL);A456;-12.80833333;-38.49583333;31.0
NE;BA;RIBEIRA DO AMPARO;A458;-11.05861111;-38.44416666;182.0
NE;CE;TIANGUA;A368;-3.73222221;-41.01194444;756.0
NE;CE;QUIXADA;A369;-4.97888888;-39.05722222;193.0
NE;PI;CORRENTE;A374;-10.42916666;-45.17305554;452.0
NE;PI;CAMPO MAIOR;A376;-4.86416666;-42.14555555;125.0
N;PA;DOM ELISEU;A252;-4.28055554;-47.56388888;251.0
N;PA;ALTAMIRA;A253;-3.27027777;-52.39472221;191.0
NE;PI;BAIXA GRANDE DO RIBEIRO;A375;-8.33749999;-45.09472221;519.0
SE;MG;PARACATU;A571;-17.24416666;-46.88166666;712.0
SE;RJ;NITEROI;A627;-22.86749999;-43.10194444;6.0
SE;RJ;CARMO;A629;-21.9386111;-42.60083333;293.0
SE;RJ;SANTA MARIA MADALENA;A630;-21.95055555;-42.01055555;517.0
SE;SP;SAO PAULO - INTERLAGOS;A771;-23.72472221;-46.67805554;771.0
S;RS;ENCRUZILHADA DO SUL;A893;-30.54305555;-52.52472221;427.75
CO;MT;SAO JOSE DO XINGU;A942;-10.48416666;-52.37249999;300.0
CO;MT;SERRA NOVA DOURADA;A943;-11.98777777;-51.4261111;441.0
CO;MT;ROSARIO OESTE;A944;-14.82888888;-56.44194444;195.0
NE;MA;ZE DOCA;A255;-3.26916666;-45.65111111;45.5
NE;PI;ANGICAL DO PIAUI;A377;-6.08944444;-42.72749999;183.0
N;AM;NOVO ARIPUANA;A144;-8.0911111;-60.38055554;45.0
N;AP;PORTO GRANDE;A244;0.69444444;-51.40416666;84.0
N;PA;REDENCAO;A254;-8.04333333;-50.00694444;199.0
SE;SP;SAO SIMAO;A770;-21.46111111;-47.57944443;620.0
S;PR;GOIOERE;A825;-24.15833333;-53.03055554;452.34
S;RS;CAPAO DO LEAO (PELOTAS);A887;-31.8025;-52.40722222;13.0
S;SC;CHAPECO;A895;-27.95527777;-52.63555555;680.0
S;SC;CAMPOS NOVOS;A898;-27.3886111;-51.21583333;963.0
